Token,Holder,Month 0,Month 1 ,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36
KNC,early investors,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,,,,,,,,,,,,,
KNC,airdrop,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,,,,,,,,,,,,,
KNC,reserve,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMT,Launchpad sale,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
GMT,private sale,0,0,0,0,0,0,0,0,0,0,0,0.63,1.27,1.9,2.54,3.17,3.8,4.44,5.07,5.71,6.25,6.79,7.34,7.88,8.42,8.97,9.51,10.05,10.6,10.96,11.32,11.68,12.04,12.14,12.77,13.13,13.49
GMT,team,0,0,0,0,0,0,0,0,0,0,0,0.3,0.59,0.89,1.18,1.48,1.78,2.07,2.37,2.66,2.96,3.25,3.55,3.85,4.14,4.44,4.73,5.03,5.33,5.62,5.92,6.21,6.51,6.8,7.1,7.4,7.69
GMT,advisors,0,0,0,0,0,0,0,0,0,0,0,0.1,0.21,0.31,0.42,0.52,0.63,0.73,0.83,0.94,1.04,1.15,1.25,1.35,1.16,1.56,1.67,1.77,1.88,1.98,2.08,2.19,2.29,2.4,2.5,2.5,2.5
GMT,ecosystem/treasury,3,3.3,3.9,4.2,4.5,4.8,5.1,5.4,5.7,6,6.3,6.6,6.9,7.2,7.5,7.8,8.1,8.4,8.7,9,9.3,9.6,9.9,10.2,10.5,10.8,11.1,11.4,11.7,12,12.3,12.6,12.9,13.2,13.5,13.8,14.1
GMT,move and earn,0,0,0,0,0,0.42,0.83,1.25,1.67,2.08,2.5,2.92,3.33,3.75,4.17,4.58,5,5.42,5.83,6.25,6.67,7.08,7.5,7.92,8.33,8.75,9.17,9.58,10,10.42,10.83,11.25,11.67,12.08,12.5,12.92,13.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXP,Private sale,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48,13.48
SXP,public sale,0,0,0,0,0,0,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
