DATA,,,,,,
token_name,Aptos Labs,,,,,
token_symbol,Aptos,,,,,
start_date,12/10/2022,,,,,
start_tokens,1000000000,,,,,
emission_schedule,30D,,,,,
emission_type,inflationary,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Community (Aptos Foundation),Community (Aptos Labs),Core Contributors,Foundation,Investors,Staking
type,percentage,percentage,percentage,percentage,percentage,inflationary
group,foundation,foundation,team,foundation,investors,validators
emission,unlock,unlock,unlock,unlock,unlock,staking
t107,37.25,9.59,19.00,14.77,13.48,54.36
t108,37.54,9.63,19.00,14.90,13.48,54.79
t109,37.83,9.66,19.00,15.03,13.48,55.20
t110,38.12,9.69,19.00,15.17,13.48,55.62
t111,38.41,9.72,19.00,15.30,13.48,56.03
t112,38.70,9.75,19.00,15.43,13.48,56.44
t113,38.99,9.78,19.00,15.57,13.48,56.85
t114,39.28,9.81,19.00,15.70,13.48,57.27
t115,39.57,9.84,19.00,15.83,13.48,57.68
t116,39.86,9.88,19.00,15.97,13.48,58.09
t117,40.15,9.91,19.00,16.10,13.48,58.51
t118,40.44,9.94,19.00,16.23,13.48,58.92
t119,40.73,9.97,19.00,16.37,13.48,59.33
t120,41.02,10.00,19.00,16.50,13.48,59.74
