DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
t114,0,0,1.5,0,8.5,0,2,0.00
t115,0,0,1.5,0,8.5,0,2,0.00
t116,0,0,1.5,0,8.5,0,2,0.00
t117,0,0,1.5,0,8.5,0,2,0.00
t118,0,0,1.5,0,8.5,0,2,0.00
t119,0,0,1.5,0,8.5,0,2,0.00
t120,0,0,1.5,0,8.5,0,2,0.00
t121,0,0,1.5,0,8.5,0,2,0.00
t122,0,0,1.5,0,8.5,0,2,0.00
t123,0,0,1.5,0,8.5,0,2,0.00
t124,0,0,1.5,0,8.5,0,2,0.00
t125,0,0,1.5,0,8.5,0,2,0.00
t126,0,0,1.5,0,8.5,0,2,0.00
t127,0,0,1.5,0,8.5,0,2,0.00
t128,0,0,1.5,0,8.5,0,2,0.00
t129,0,0,1.5,0,8.5,0,2,0.00
t130,0,0,1.5,0,8.5,0,2,0.00
t131,0,0,1.5,0,8.5,0,2,0.00
t132,0,0,1.5,0,8.5,0,2,0.00
t133,0,0,1.5,0,8.5,0,2,0.00
t134,0,0,1.5,0,8.5,0,2,0.00
t135,0,0,1.5,0,8.5,0,2,0.00
t136,0,0,1.5,0,8.5,0,2,0.00
t137,0,0,1.5,0,8.5,0,2,0.00
t138,0,0,1.5,0,8.5,0,2,0.00
t139,0,0,1.5,0,8.5,0,2,0.00
t140,0,0,1.5,0,8.5,0,2,0.00
t141,0,0,1.5,0,8.5,0,2,0.00
t142,0,0,1.5,0,8.5,0,2,0.00
t143,0,0,1.5,0,8.5,0,2,0.00
t144,0,0,1.5,0,8.5,0,2,0.00
t145,0,0,1.5,0,8.5,0,2,0.00
t146,0,0,1.5,0,8.5,0,2,0.00
t147,0,0,1.5,0,8.5,0,2,0.00
t148,0,0,1.5,0,8.5,0,2,0.00
t149,0,0,1.5,0,8.5,0,2,0.00
t150,0,0,1.5,0,8.5,0,2,0.00
t151,0,0,1.5,0,8.5,0,2,0.00
