DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t157,0.00,1.50,0.00,5.35
t158,0.00,1.50,0.00,5.37
t159,0.00,1.50,0.00,5.40
t160,0.00,1.50,0.00,5.42
t161,0.00,1.50,0.00,5.44
t162,0.00,1.50,0.00,5.46
t163,0.00,1.50,0.00,5.48
t164,0.00,1.50,0.00,5.50
t165,0.00,1.50,0.00,5.52
t166,0.00,1.50,0.00,5.55
t167,0.00,1.50,0.00,5.57
t168,0.00,1.50,0.00,5.59
t169,0.00,1.50,0.00,5.61
t170,0.00,1.50,0.00,5.63
t171,0.00,1.50,0.00,5.65
t172,0.00,1.50,0.00,5.67
t173,0.00,1.50,0.00,5.69
t174,0.00,1.50,0.00,5.72
t175,0.00,1.50,0.00,5.74
t176,0.00,1.50,0.00,5.76
t177,0.00,1.50,0.00,5.78
t178,0.00,1.50,0.00,5.80
t179,0.00,1.50,0.00,5.82
t180,0.00,1.50,0.00,5.84
t181,0.00,1.50,0.00,5.87
t182,0.00,1.50,0.00,5.89
t183,0.00,1.50,0.00,5.91
t184,0.00,1.50,0.00,5.93
t185,0.00,1.50,0.00,5.95
t186,0.00,1.50,0.00,5.97
t187,0.00,1.50,0.00,5.99
t188,0.00,1.50,0.00,6.02
t189,0.00,1.50,0.00,6.04
t190,0.00,1.50,0.00,6.06
t191,0.00,1.50,0.00,6.08
t192,0.00,1.50,0.00,6.10
t193,0.00,1.50,0.00,6.12
t194,0.00,1.50,0.00,6.14
t195,0.00,1.50,0.00,6.16
t196,0.00,1.50,0.00,6.19
t197,0.00,1.50,0.00,6.21
t198,0.00,1.50,0.00,6.23
t199,0.00,1.50,0.00,6.25
t200,0.00,1.50,0.00,6.27
t201,0.00,1.50,0.00,6.29
t202,0.00,1.50,0.00,6.31
t203,0.00,1.50,0.00,6.34
t204,0.00,1.50,0.00,6.36
t205,0.00,1.50,0.00,6.38
t206,0.00,1.50,0.00,6.40
